"","SOM","OC","IS","DEP","ANX","HOS","PHOB","PAR","PSY","CGISCHSP_w0","CGISCHSN_w0","CGISCHSD_w0","CGISCHSC_w0"
"SOM",0,0.084603858605987,0,0.00361836403352804,0.240617532864908,0.136762710360666,0.0796039727926788,0,0.0793727900094889,0,0,-0.0287585854084895,0
"OC",0.084603858605987,0,0.250862771147285,0.368357825395166,0.11227017367969,0.0114833381620923,0,0.00379368145692266,0.142422528250624,0,-0.0114066083163299,0,0.0482649937151728
"IS",0,0.250862771147285,0,0.0999990576416974,0.0256235261032704,0.131121614972735,0.214710681010542,0.373119716827686,0.0899379167099397,0,0,0,0
"DEP",0.00361836403352804,0.368357825395166,0.0999990576416974,0,0.277073880912826,0.0929331818304044,0,0,0.188787548480196,-0.0743295455300527,-0.0527379684931249,0.130385421478221,0
"ANX",0.240617532864908,0.11227017367969,0.0256235261032704,0.277073880912826,0,0.168265187144129,0.323529430183177,0,0.129515655557749,0,0.0118099951906827,0.0600057157396978,0
"HOS",0.136762710360666,0.0114833381620923,0.131121614972735,0.0929331818304044,0.168265187144129,0,0.0213247582534761,0.140133289714832,0.020800633905529,0.0356462043683556,-0.00311108797818041,-0.0145674992153294,0
"PHOB",0.0796039727926788,0,0.214710681010542,0,0.323529430183177,0.0213247582534761,0,0.0161753666167827,0.0578369737752467,0.0107360581878319,0.0756014257690663,0,0.0030680679023281
"PAR",0,0.00379368145692266,0.373119716827686,0,0,0.140133289714832,0.0161753666167827,0,0.282970712391188,0.0596092242405975,-0.00944973473702125,-0.0516888457761988,0
"PSY",0.0793727900094889,0.142422528250624,0.0899379167099397,0.188787548480196,0.129515655557749,0.020800633905529,0.0578369737752467,0.282970712391188,0,0.106372188138961,-0.0526686528710761,0,0
"CGISCHSP_w0",0,0,0,-0.0743295455300527,0,0.0356462043683556,0.0107360581878319,0.0596092242405975,0.106372188138961,0,0.0796383079525808,0.122401028505788,0.206643373776084
"CGISCHSN_w0",0,-0.0114066083163299,0,-0.0527379684931249,0.0118099951906827,-0.00311108797818041,0.0756014257690663,-0.00944973473702125,-0.0526686528710761,0.0796383079525808,0,0.314552114254955,0.425674702239862
"CGISCHSD_w0",-0.0287585854084895,0,0,0.130385421478221,0.0600057157396978,-0.0145674992153294,0,-0.0516888457761988,0,0.122401028505788,0.314552114254955,0,0.0893298309743968
"CGISCHSC_w0",0,0.0482649937151728,0,0,0,0,0.0030680679023281,0,0,0.206643373776084,0.425674702239862,0.0893298309743968,0
