"","SOM","OC","IS","DEP","ANX","HOS","PHOB","PAR","PSY","PANSSP_SUM_w0","PANSSN_SUM_w0","PANSSG_SUM_w0","PANSSTotal_w0"
"SOM",0,-0.028941652733561,0,0,0.244952826569565,0.211633755105558,0.00890822977097714,-0.0411049424281619,0.213171357631657,0.0149913983616281,-0.067505443406495,0,0.0195459637404972
"OC",-0.028941652733561,0,0.133005323005522,0.455556584981673,0.171252573311432,0.0594710507507382,0,0,0.21404521374471,-0.0667489029155888,0.0440462813946379,0,0
"IS",0,0.133005323005522,0,0.174434995497984,0,0.174325721655107,0.304567433518184,0.461685362788679,0.0710102879886348,-0.0639133413991312,0.00682411358066358,0.0112659789136429,0
"DEP",0,0.455556584981673,0.174434995497984,0,0.196965264357473,0.00856780387992543,-0.0122078497911119,-0.0378763411739084,0.158064276207335,0,0,0,0
"ANX",0.244952826569565,0.171252573311432,0,0.196965264357473,0,0.153974291624212,0.345857805693552,-0.0429227443209218,0.0641779687300495,0.0220623562243658,-0.0586985850976842,0.0379412946071624,0
"HOS",0.211633755105558,0.0594710507507382,0.174325721655107,0.00856780387992543,0.153974291624212,0,0.0820655132078339,0.108584866820469,-0.0309326112786961,0,-0.0302361885755803,0,0.0125453109335385
"PHOB",0.00890822977097714,0,0.304567433518184,-0.0122078497911119,0.345857805693552,0.0820655132078339,0,0.00908606825919309,0.0701674865517334,0.0675169990734093,0.103337824047386,-0.0677857543673113,0
"PAR",-0.0411049424281619,0,0.461685362788679,-0.0378763411739084,-0.0429227443209218,0.108584866820469,0.00908606825919309,0,0.296655432618628,0.0828161613427854,-0.0197262253273594,-0.0135763243415687,0
"PSY",0.213171357631657,0.21404521374471,0.0710102879886348,0.158064276207335,0.0641779687300495,-0.0309326112786961,0.0701674865517334,0.296655432618628,0,0.0375641788054799,-0.0271032118398841,0,0
"PANSSP_SUM_w0",0.0149913983616281,-0.0667489029155888,-0.0639133413991312,0,0.0220623562243658,0,0.0675169990734093,0.0828161613427854,0.0375641788054799,0,-0.578072626342666,-0.376603618874217,0.724763876793214
"PANSSN_SUM_w0",-0.067505443406495,0.0440462813946379,0.00682411358066358,0,-0.0586985850976842,-0.0302361885755803,0.103337824047386,-0.0197262253273594,-0.0271032118398841,-0.578072626342666,0,-0.41714494626141,0.734032682819629
"PANSSG_SUM_w0",0,0,0.0112659789136429,0,0.0379412946071624,0,-0.0677857543673113,-0.0135763243415687,0,-0.376603618874217,-0.41714494626141,0,0.847971337342277
"PANSSTotal_w0",0.0195459637404972,0,0,0,0,0.0125453109335385,0,0,0,0.724763876793214,0.734032682819629,0.847971337342277,0
